id,name,rank,genre,soundcloud_track_id,playcount_all,playcount_weekly,artist
784749001,SEM TEMPO Ft. YunLilo & Johnny Berry (Prod. By WESTING),129,Hip-hop & Rap,784749001,44075,6754,Twenty20
786926962,Drake - Toosie Slide [Full Unreleased],130,Hip-hop & Rap,786926962,20433,6686,oomps
785871454,living good (prod. laron) leak,131,,785871454,27983,6625,TALK MONEY TME
787709842,水YoYo,132,,787709842,19419,6623,Orangestar
785126614,AISYAH ISTRI RASULULLAH - ANISA RAHMAN (Cover).mp3,133,,785126614,45295,6616,Deta Karmila
785550898,"Billie Jean(Ft. Fortez, Lipey & Kev)",134,,785550898,34047,6609,LEBASI
785800351,JUST US BY DEWAYNE COLLINS AKA YOUNG CALIFORNIA AKA NEW,135,Hip-Hop&Rap,785800351,32628,6595,Dj Flames
781713997,Wetty,136,Rap,781713997,194375,6584,Fivio Foreign
784907338,AULA 5 ( Prod. Trippin Seven Beats ) o,137,Hip-hop & Rap,784907338,40507,6579,Ndongadas
786515869,u hate me (prod Wonderr x Cgm),138,,786515869,21735,6485,Summrs
785630737,"¿Cómo Sería 2? ""Classic"" By Alex Hard",139,Electronic,785630737,26040,6449,ALEX HARD 4 - SESSIONESS
783586240,WINNER - 뜸 (Hold),140,Hip-hop & Rap,783586240,80711,6440,L2Share♫100
786364465,A Serbian Song,141,Trance,786364465,15688,6416,Agnostic
783257371,Ганвест-Кайфули,142,Hip-hop & Rap,783257371,89903,6412,Ганвест
779446123,Break Shit,143,Hip Hop,779446123,870079,6412,JASIAH
784089145,FLESH x Шарлот - ПАРАЛЛЕЛЬНАЯ ВСЕЛЕННАЯ,144,Hip-hop & Rap,784089145,57550,6359,Русская Рэп-Сцена
785041333,Being Human - Steven Universe Future (Complete),145,,785041333,52245,6243,Steven Universe
785193049,Pelan Tapi Party!! Special Req Prana Asbita - DJ Mang Sada,146,Funkot,785193049,40061,6209,mang sada
784904512,"Rvssian , Lil Mosey & Lil Tjay - Only The Team",147,Hip-hop & Rap,784904512,38487,6000,PGlizzy
785411113,Chyna (feat. Gianni $tallone & Okénio M),148,,785411113,28850,5981,LipeSky
786159445,My God Is SO Powerful,149,Folk & Singer-Songwriter,786159445,15513,5958,Filipino Mestizo
783290416,Perky Activated,150,Hip-hop & Rap,783290416,84094,5936,JayDaYoungan
784907248,"The Chainsmokers, ILLENIUM - Takeaway Ft Lennon Stella (Brett & Butter Remix)",151,Dance & EDM,784907248,36518,5934,MugaTunes (Label)
786065635,مهرجان | محدش يتوقعنى ( بعد يا عيني وبعد ياليلي ) عبده سيطره  2020,152,Hip-hop & Rap,786065635,29399,5929,Wegz & Molotof - Dorak Gai | ويجز - دورك جاى
785277484,Please Listen!,153,,785277484,28025,5873,Campus Bullet
783579706,AISYAH ISTRI RASULULLAH Cover Gitar By Nafidha,154,Pop,783579706,67575,5857,Musik Indonesia
781417456,Subo - Сбудется,155,Drum & Bass,781417456,193017,5798,Александр Ярош
787048855,Vintage Culture b2b Meca @ Digital Week 2 - EP11 - Bailao Eletrico,156,World,787048855,17385,5797,Vintage Culture
786590473,RA.722 VTSS,157,Electronic,786590473,14805,5785,Resident Advisor
785680021,Tu Puedes Vencerla,158,,785680021,21717,5726,DOSIS DIARIA
783832456,Dicen,159,World Music,783832456,59843,5724,Junior H
782155561,مهرجان بونبونى ساقط فى نوتيلا,160,,782155561,120249,5702,Beshoy Boshra
785602861,DON'T MISS! (prod+ its2ezzy),161,$oFaygo,785602861,27759,5625,$oFaygo (@imsofaygo)
786557143,DRAKE LEAK toosie slide,162,,786557143,15198,5621,666
786531610,insecurties (prod skys),163,R&B & Soul,786531610,18003,5602,Summrs
786935935,Stay With Me (prod. RRAREBEAR),164,Hip-hop & Rap,786935935,18289,5576,JBREEZO 💫
787277602,INTERNATIONAL VERSIONS Vol 1,165,World,787277602,14396,5538,KhruangBin
787778362,GC  Stone Monkey 1 3,166,Audiobooks,787778362,11954,5529,Geoffrey Cox
784749913,Rylo Rodriguez - No Fentanyl/Camera Roll,167,Hip-hop & Rap,784749913,40121,5526,Rylo Rodriguez
785056324,Una Buena Noticia,168,,785056324,28490,5485,DOSIS DIARIA
784841185,Frank Ocean - Dear April,169,,784841185,33074,5474,n
783834547,Jueves 10,170,World Music,783834547,56009,5432,Junior H
785545642,Kkperry,171,Dancehall,785545642,23073,5410,Said
787756876,Antes de morrer diretor da Delta implorou à esposa por cloroquina,172,,787756876,11521,5396,Portal AZ
784662742,Orochi “ACELERANDO” 🚆 (prod. Jess),173,Orochi “ACELERANDO”,784662742,40237,5369,Orochi | Sidoka | Djonga
786549862,جنه تكفينا احنا وخلاص - العسيلي,174,News & Politics,786549862,22755,5358,eleven
784360027,Toxic,175,,784360027,45187,5352,DDG
783839521,Silky- Peaky Blinders,176,Hip-hop & Rap,783839521,54570,5342,O.C.E
786456466,yung kayo - jedi,177,World,786456466,18025,5328,sevensevenseven
786328246,KiD TRUNKS - Habibi,178,World,786328246,18188,5295,KiD TRUNKS
784296385,Bondi - Caught In Between (Gabe & Vintage Culture Extended),179,,784296385,40144,5287,Vintage Culture
784593403,NERVE DAMAGE,180,Dubstep,784593403,32828,5233,MUST DIE!
778518871,No Front,181,Hip-hop & Rap,778518871,1112444,5230,COMETHAZINE
