artist,uri,followers,genres,popularity
The Stooges,spotify:artist:4BFMTELQyWJU1SwqcXMBm3,357753,"['alternative rock', 'blues rock', 'classic rock', 'dance rock', 'garage rock', 'new wave', 'permanent wave', 'post-punk', 'protopunk', 'psychedelic rock', 'punk', 'punk blues', 'rock']",57
Carlo Savina,spotify:artist:0JPH3a8DUy38JvZsdhmEnC,972,['vintage italian soundtrack'],33
Doc Watson,spotify:artist:01N1aZStXA4yGvkz4vRXtJ,54701,"['american folk revival', 'appalachian folk', 'bluegrass', 'country rock', 'folk', 'jam band', 'new americana', 'old-time', 'progressive bluegrass', 'traditional folk']",52
Traditional,spotify:artist:1U5zgr455OGyIkLNXvDdrf,27045,['sleep'],64
Jerry Goldsmith,spotify:artist:7t8q7ikEtcPNtoaKAm9Vu6,54028,"['classic soundtrack', 'scorecore', 'soundtrack', 'theme']",54
Ennio Morricone,spotify:artist:1nIUhcKHnK6iyumRyoV68C,567400,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']",70
Bob Wills,spotify:artist:0VyOgubdcDnrJ0AWL2TRDN,19246,"['bakersfield sound', 'traditional country', 'traditional folk', 'western swing']",41
Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,373352,"['adult standards', 'bossa nova', 'brazilian jazz', 'latin classical', 'mpb', 'violao']",70
Wolfgang Amadeus Mozart,spotify:artist:4NJhFmfw43RLBLjQvxDuRS,3414256,"['classical', 'classical era']",78
Ernesto Lecuona,spotify:artist:4Gd1JXQVbYicIeo2bDNHwL,4930,['mambo'],36
The Marvelows,spotify:artist:5UBLqIfKvD6GNuZefZQ504,200,"['chicago soul', 'doo-wop']",15
Percy Sledge,spotify:artist:3rRmDmzPcAFwcUDvG5gBqO,300191,"['classic soul', 'soul', 'southern soul']",58
Tito Puente,spotify:artist:6SPpCqM8gOzrtICAxN5NuX,122276,"['latin jazz', 'mambo', 'salsa']",54
David Houston,spotify:artist:7tIs7rxqGuBvWMhIIigunf,8608,['nashville sound'],35
Pharoah Sanders,spotify:artist:3JLUCojZaHrX2LaUkSj7Ud,54016,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free improvisation', 'free jazz', 'hard bop', 'indie jazz', 'jazz', 'jazz funk', 'jazz saxophone', 'spiritual jazz']",46
Cowboy Copas,spotify:artist:4szqhE3dT8nzYnlXYGwzmi,6517,"['honky tonk', 'western swing']",24
Harry Belafonte,spotify:artist:6Tw1ktF4xMmzaLLbe98I2z,108331,"['adult standards', 'brill building pop', 'calypso', 'lounge']",59
The Ivy League,spotify:artist:4xzeOvWTraQHZgxOgpz59N,5969,"['british invasion', 'bubblegum pop', 'merseybeat']",34
P. Susheela,spotify:artist:0aFGod7DM6b3O5l1AmvFwK,99914,"['deep indian pop', 'filmi', 'tamil worship']",42
Bobby Vee,spotify:artist:5MX2l6ewjOaeWn1lYNhzlO,113980,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']",54
The Marvelettes,spotify:artist:0MponVSpW81oLvJZ53vYZH,196856,"['brill building pop', 'classic girl group', 'classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']",57
The Strangeloves,spotify:artist:4NMkJqM1SsQP3gk81cqk6K,3622,"['classic garage rock', 'freakbeat']",33
