,title,artist,image,weeks,chart
4649,Their Greatest Hits 1971-1975,Eagles,https://charts-static.billboard.com/img/1976/03/eagles-co1-their-greatest-hits-19711975-53g-53x53.jpg,144.0,rock-albums
4650,Evolve,Imagine Dragons,https://charts-static.billboard.com/img/2017/07/imagine-dragons-wca-evolve-xpn-53x53.jpg,150.0,rock-albums
4651,Lamentations,American Aquarium,https://charts-static.billboard.com/img/2020/05/american-aquarium-fa0-lamentations-8a0-53x53.jpg,1.0,rock-albums
4652,Greatest Hits,Bob Seger & The Silver Bullet Band,https://charts-static.billboard.com/img/1994/11/bob-seger-moj-greatest-hits-3ib-53x53.jpg,127.0,rock-albums
4653,Hot Rocks 1964-1971,The Rolling Stones,https://charts-static.billboard.com/img/1972/01/the-rolling-stones-3a7-hot-rocks-19641971-jzb-53x53.jpg,104.0,rock-albums
4654,Greatest Hits,Red Hot Chili Peppers,https://charts-static.billboard.com/img/2003/12/red-hot-chili-peppers-c0t-greatest-hits-mir-53x53.jpg,142.0,rock-albums
4655,Ordinary Man,Ozzy Osbourne,https://charts-static.billboard.com/img/2020/03/ozzy-osbourne-zlc-ordinary-man-9q3-53x53.jpg,11.0,rock-albums
4656,Nevermind,Nirvana,https://charts-static.billboard.com/img/1991/10/nirvana-ezv-nevermind-nnk-53x53.jpg,138.0,rock-albums
4657,The Essential Elvis Presley,Elvis Presley,https://charts-static.billboard.com/img/2007/01/elvis-presley-nq7-the-essential-elvis-presley-jqg-53x53.jpg,45.0,rock-albums
4658,Metallica,Metallica,https://charts-static.billboard.com/img/1991/08/metallica-b7f-metallica-ea6-53x53.jpg,171.0,rock-albums
4659,A Decade Of Destruction,Five Finger Death Punch,https://charts-static.billboard.com/img/2017/12/five-finger-death-punch-kxm-a-decade-of-destruction-p7b-53x53.jpg,127.0,rock-albums
4660,Blurryface,twenty one pilots,https://charts-static.billboard.com/img/2015/06/twenty-one-pilots-840-blurryface-lxm-53x53.jpg,260.0,rock-albums
4661,Born To Die,Lana Del Rey,https://charts-static.billboard.com/img/2012/02/lana-del-rey-x3j-born-to-die-iob-53x53.jpg,288.0,rock-albums
4662,Greatest Hits: The Ultimate Collection,Bon Jovi,https://charts-static.billboard.com/img/2010/11/bon-jovi-l4r-greatest-hits-the-ultimate-collection-88r-53x53.jpg,171.0,rock-albums
4663,Night Visions,Imagine Dragons,https://charts-static.billboard.com/img/2012/09/imagine-dragons-wca-night-visions-jec-53x53.jpg,285.0,rock-albums
4664,Greatest Hits,Fleetwood Mac,https://charts-static.billboard.com/img/1988/12/fleetwood-mac-m6k-greatest-hits-v61-53x53.jpg,70.0,rock-albums
4665,Making A Door Less Open,Car Seat Headrest,https://charts-static.billboard.com/img/2020/05/car-seat-headrest-qjm-making-a-door-less-open-f86-53x53.jpg,1.0,rock-albums
4666,The Dark Side Of The Moon,Pink Floyd,https://charts-static.billboard.com/img/1973/03/pink-floyd-pu1-the-dark-side-of-the-moon-sld-53x53.jpg,71.0,rock-albums
4667,Sublime,Sublime,https://charts-static.billboard.com/img/1996/08/sublime-sl0-sublime-yym-53x53.jpg,64.0,rock-albums
4668,The Story So Far.The Best Of Def Leppard,Def Leppard,https://charts-static.billboard.com/img/2018/12/def-leppard-hy1-the-story-so-farthe-best-of-def-leppard-s69-53x53.jpg,30.0,rock-albums
4669,Pray For The Wicked,Panic! At The Disco,https://charts-static.billboard.com/img/2018/07/panic-at-the-disco-yl6-pray-for-the-wicked-ft4-53x53.jpg,98.0,rock-albums
4670,Greatest Hits 1974-78,The Steve Miller Band,https://charts-static.billboard.com/img/1978/12/the-steve-miller-band-s0o-greatest-hits-197478-82e-53x53.jpg,36.0,rock-albums
4671,The Beatles [White Album],The Beatles,https://charts-static.billboard.com/img/1968/12/the-beatles-ism-the-beatles-white-album--392-53x53.jpg,75.0,rock-albums
4672,Simon And Garfunkel's Greatest Hits,Simon & Garfunkel,https://charts-static.billboard.com/img/1972/07/simon-garfunkel-000-simon-and-garfunkels-greatest-hits-ypr-53x53.jpg,126.0,rock-albums
4673,Greatest Hits,Foo Fighters,https://charts-static.billboard.com/img/2009/11/foo-fighters-as2-greatest-hits-tb5-53x53.jpg,102.0,rock-albums
4674,The Wall,Pink Floyd,https://charts-static.billboard.com/img/1979/12/pink-floyd-f24-the-wall-0i9-53x53.jpg,58.0,rock-albums
4675,[Hybrid Theory],Linkin Park,https://charts-static.billboard.com/img/2000/11/linkin-park-brd--hybrid-theory--nd4-53x53.jpg,133.0,rock-albums
4676,Complete Clapton,Eric Clapton,https://charts-static.billboard.com/img/2007/10/eric-clapton-uz8-complete-clapton-hk7-53x53.jpg,44.0,rock-albums
4677,Hozier,Hozier,https://charts-static.billboard.com/img/2014/10/hozier-hdg-hozier-cb1-53x53.jpg,213.0,rock-albums
4678,Greatest Hits,James Taylor,https://charts-static.billboard.com/img/1976/12/james-taylor-u4r-greatest-hits-ovw-53x53.jpg,7.0,rock-albums
4679,Currents,Tame Impala,https://charts-static.billboard.com/img/2015/08/tame-impala-rq1-currents-ita-53x53.jpg,86.0,rock-albums
4680,Aerosmith's Greatest Hits,Aerosmith,https://charts-static.billboard.com/img/1980/11/aerosmith-fsf-aerosmiths-greatest-hits-cpf-53x53.jpg,35.0,rock-albums
4681,Hotel California,Eagles,https://charts-static.billboard.com/img/1976/12/eagles-520-hotel-california-vgq-53x53.jpg,35.0,rock-albums
4682,The New Abnormal,The Strokes,https://charts-static.billboard.com/img/2001/09/the-strokes-pwn-53x53.jpg,4.0,rock-albums
4683,Greatest Hits,Motley Crue,https://charts-static.billboard.com/img/2009/12/motley-crue-qt0-greatest-hits-gol-53x53.jpg,35.0,rock-albums
4684,"Believers Never Die, Volume Two: Greatest Hits",Fall Out Boy,https://charts-static.billboard.com/img/2017/07/fall-out-boy-53x53.jpg,23.0,rock-albums
4685,Don't Stop Believin',Journey,https://charts-static.billboard.com/img/1975/05/journey-9z6-53x53.jpg,202.0,rock-streaming-songs
4686,Level Of Concern,twenty one pilots,https://charts-static.billboard.com/img/2020/04/twenty-one-pilots-1st-level-of-concern-8s6-53x53.jpg,4.0,rock-streaming-songs
4687,Believer,Imagine Dragons,https://charts-static.billboard.com/img/2017/02/imagine-dragons-wca-believer-ptm-53x53.jpg,170.0,rock-streaming-songs
4688,Hotel California,Eagles,https://charts-static.billboard.com/img/1977/02/eagles-co1-53x53.jpg,117.0,rock-streaming-songs
4689,Sweet Home Alabama,Lynyrd Skynyrd,https://charts-static.billboard.com/img/1974/07/lynyrd-skynyrd-hvs-53x53.jpg,104.0,rock-streaming-songs
4690,Bohemian Rhapsody,Queen,https://charts-static.billboard.com/img/1976/01/queen-m21-53x53.jpg,196.0,rock-streaming-songs
4691,High Hopes,Panic! At The Disco,https://charts-static.billboard.com/img/2018/06/panic-at-the-disco-git-high-hopes-5p8-53x53.jpg,100.0,rock-streaming-songs
4692,Dreams,Fleetwood Mac,https://charts-static.billboard.com/img/1977/04/fleetwood-mac-m6k-53x53.jpg,15.0,rock-streaming-songs
4693,Thunder,Imagine Dragons,https://charts-static.billboard.com/img/1840/12/imagine-dragons-hy6-53x53.jpg,158.0,rock-streaming-songs
4694,Sweet Child O' Mine,Guns N' Roses,https://charts-static.billboard.com/img/1988/06/guns-n-roses-egb-53x53.jpg,57.0,rock-streaming-songs
4695,Simple Man,Lynyrd Skynyrd,https://charts-static.billboard.com/img/2018/01/lynyrd-skynyrd-hvs-53x53.jpg,66.0,rock-streaming-songs
4696,Brown Eyed Girl,Van Morrison,https://charts-static.billboard.com/img/1967/07/van-morrison-3m3-53x53.jpg,44.0,rock-streaming-songs
4697,Bloody Valentine,Machine Gun Kelly,https://charts-static.billboard.com/img/2020/05/machine-gun-kelly-3ma-bloody-valentine-3p9-53x53.jpg,1.0,rock-streaming-songs
4698,I'm Yours,Jason Mraz,https://charts-static.billboard.com/img/1840/12/jason-mraz-5w0-53x53.jpg,129.0,rock-streaming-songs
4699,Have You Ever Seen The Rain,Creedence Clearwater Revival,https://charts-static.billboard.com/img/1971/01/creedence-clearwater-revival-4xu-53x53.jpg,32.0,rock-streaming-songs
4700,The Less I Know The Better,Tame Impala,https://charts-static.billboard.com/img/2015/12/tame-impala-rq1-53x53.jpg,40.0,rock-streaming-songs
4701,Bang!,AJR,https://charts-static.billboard.com/img/2014/05/ajr-k86-53x53.jpg,5.0,rock-streaming-songs
4702,Mr. Brightside,The Killers,https://charts-static.billboard.com/img/2004/08/the-killers-1wx-53x53.jpg,94.0,rock-streaming-songs
4703,Another One Bites The Dust,Queen,https://charts-static.billboard.com/img/1980/08/queen-m21-53x53.jpg,77.0,rock-streaming-songs
4704,Take It Easy,Eagles,https://charts-static.billboard.com/img/1972/06/eagles-520-53x53.jpg,6.0,rock-streaming-songs
4705,Rocket Man,Elton John,https://charts-static.billboard.com/img/1972/05/elton-john-qls-53x53.jpg,28.0,rock-streaming-songs
4706,Feel It Still,Portugal. The Man,https://charts-static.billboard.com/img/2017/03/portugal-the-man-l5z-53x53.jpg,151.0,rock-streaming-songs
4707,Fortunate Son,Creedence Clearwater Revival,https://charts-static.billboard.com/img/1968/07/creedence-clearwater-revival-iag-53x53.jpg,28.0,rock-streaming-songs
4708,Here Comes The Sun,The Beatles,https://charts-static.billboard.com/img/1964/01/the-beatles-w7h-53x53.jpg,10.0,rock-streaming-songs
4709,Radioactive,Imagine Dragons,https://charts-static.billboard.com/img/2012/08/imagine-dragons-hy6-53x53.jpg,314.0,rock-streaming-songs
4710,Level Of Concern,twenty one pilots,https://charts-static.billboard.com/img/2020/04/twenty-one-pilots-1st-level-of-concern-8s6-53x53.jpg,5.0,rock-airplay
4711,Caution,The Killers,https://charts-static.billboard.com/img/2004/05/the-killers-5bg-53x53.jpg,9.0,rock-airplay
4712,Black Madonna,Cage The Elephant,https://charts-static.billboard.com/img/2019/05/cage-the-elephant-vk8-53x53.jpg,17.0,rock-airplay
4713,Death Bed,Powfu Featuring beabadoobee,https://charts-static.billboard.com/img/2020/03/powfu-000-death-bed-ne9-53x53.jpg,8.0,rock-airplay
4714,Lost In Yesterday,Tame Impala,https://charts-static.billboard.com/img/2010/07/tame-impala-ye2-53x53.jpg,13.0,rock-airplay
4715,Everything I Wanted,Billie Eilish,https://charts-static.billboard.com/img/2019/11/billie-eilish-acb-everything-i-wanted-mj1-53x53.jpg,25.0,rock-airplay
4716,Bang!,AJR,https://charts-static.billboard.com/img/2014/05/ajr-k86-53x53.jpg,11.0,rock-airplay
4717,Deleter,Grouplove,https://charts-static.billboard.com/img/2020/01/grouplove-cdm-deleter-rrb-53x53.jpg,17.0,rock-airplay
4718,Dissolve,Absofacto,https://charts-static.billboard.com/img/2019/06/absofacto-zsl-53x53.jpg,43.0,rock-airplay
4719,Your Love (Deja Vu),Glass Animals,https://charts-static.billboard.com/img/2017/05/glass-animals-53x53.jpg,11.0,rock-airplay
4720,loneliness for love,lovelytheband,https://charts-static.billboard.com/img/2020/02/lovelytheband-nsh-loneliness-for-love-dzq-53x53.jpg,14.0,rock-airplay
4721,Moral Of The Story,Ashe,https://charts-static.billboard.com/img/2020/03/ashe-000-moral-of-the-story-hfp-53x53.jpg,9.0,rock-airplay
4722,Oh Yeah!,Green Day,https://charts-static.billboard.com/img/2016/12/green-day-53x53.jpg,16.0,rock-airplay
4723,Shine A Little Light,The Black Keys,https://charts-static.billboard.com/img/2019/07/the-black-keys-do0-shine-a-little-light-sla-53x53.jpg,16.0,rock-airplay
4724,Unforgettable,Godsmack,https://charts-static.billboard.com/img/2020/02/godsmack-5kr-unforgettable-vy5-53x53.jpg,8.0,rock-airplay
4725,Bad Decisions,The Strokes,https://charts-static.billboard.com/img/2001/09/the-strokes-pwn-53x53.jpg,11.0,rock-airplay
4726,Sickness,Grey Daze,https://charts-static.billboard.com/img/2020/02/grey-daze-000-sickness-8vs-53x53.jpg,11.0,rock-airplay
4727,Popular Monster,Falling In Reverse,https://charts-static.billboard.com/img/2019/11/falling-in-reverse-63g-popular-monster-06w-53x53.jpg,10.0,rock-airplay
4728,Honeybee,The Head And The Heart,https://charts-static.billboard.com/img/2010/12/the-head-and-the-heart-5gb-53x53.jpg,7.0,rock-airplay
4729,Superblood Wolfmoon,Pearl Jam,https://charts-static.billboard.com/img/2020/02/pearl-jam-1pn-superblood-wolfmoon-gjb-53x53.jpg,12.0,rock-airplay
4730,Hallucinogenics,Matt Maeson,https://charts-static.billboard.com/img/2020/04/matt-maeson-u75-hallucinogenics-rp5-53x53.jpg,4.0,rock-airplay
4731,Lay Your Head On Me,Major Lazer Featuring Marcus Mumford,https://charts-static.billboard.com/img/2020/04/major-lazer-000-lay-your-head-on-me-pt4-53x53.jpg,5.0,rock-airplay
4732,Far Away,Breaking Benjamin Featuring Scooter Ward,https://charts-static.billboard.com/img/2019/12/breaking-benjamin-rch-far-away-5wk-53x53.jpg,15.0,rock-airplay
4733,Ordinary Man,Ozzy Osbourne Featuring Elton John,https://charts-static.billboard.com/img/1981/04/ozzy-osbourne-xw5-53x53.jpg,5.0,rock-airplay
4734,Me & You Together Song,The 1975,https://charts-static.billboard.com/img/2020/02/the-1975-e6h-me-and-you-together-song-g7u-53x53.jpg,13.0,rock-airplay
4735,Shakin' Off The Rust,The Blue Stones,https://charts-static.billboard.com/img/2018/09/the-blue-stones-ayf-53x53.jpg,17.0,rock-airplay
4736,Sober,Bad Wolves,https://charts-static.billboard.com/img/2020/03/bad-wolves-vib-sober-mit-53x53.jpg,6.0,rock-airplay
4737,how will i rest in peace if i'm buried by a highway?//,KennyHoopla,https://charts-static.billboard.com/img/2020/02/kennyhoopla-000-how-will-i-rest-in-peace-if-im-buried-by-a-highway--3y3-53x53.jpg,7.0,rock-airplay
4738,Can You Hear Me,Korn,https://charts-static.billboard.com/img/2019/09/korn-4hs-53x53.jpg,5.0,rock-airplay
4739,Van Horn,Saint Motel,https://charts-static.billboard.com/img/2016/11/saint-motel-53x53.jpg,18.0,rock-airplay
4740,City Of Angels,24kGoldn,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?dbe85e947231a7ccaa2d,8.0,rock-airplay
4741,Who's Gonna Love Me Now,Cold War Kids,https://charts-static.billboard.com/img/2017/04/cold-war-kids-53x53.jpg,5.0,rock-airplay
4742,Living In A Ghost Town,The Rolling Stones,https://charts-static.billboard.com/img/2020/05/the-rolling-stones-pxx-living-in-a-ghost-town-fn1-53x53.jpg,3.0,rock-airplay
4743,Antisocialist,Asking Alexandria,https://charts-static.billboard.com/img/2009/10/asking-alexandria-t04-53x53.jpg,3.0,rock-airplay
4744,Hell N Back,Bakar,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?dbe85e947231a7ccaa2d,5.0,rock-airplay
4745,Check Your Phone,cheapcuts Featuring Pete Wentz,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?dbe85e947231a7ccaa2d,3.0,rock-airplay
4746,Shangri-La,EOB,https://charts-static.billboard.com/img/2020/02/eob-000-shangrila-x8r-53x53.jpg,8.0,rock-airplay
4747,I Want More,KALEO,https://charts-static.billboard.com/img/2020/02/kaleo-rcp-i-want-more-cy0-53x53.jpg,8.0,rock-airplay
4748,July,Noah Cyrus & Leon Bridges,https://charts-static.billboard.com/img/2019/11/noah-cyrus-slx-july-4oj-53x53.jpg,4.0,rock-airplay
4749,Someone Else,REZZ x Grabbitz,https://charts-static.billboard.com/img/2016/10/rezz-l5y-87x87.jpg,1.0,rock-airplay
4750,Outlaws & Outsiders,"Cory Marks Featuring Travis Tritt, Ivan Moody & Mick Mars",https://charts-static.billboard.com/img/2019/11/cory-marks-000-outlaws-and-outsiders-wmg-53x53.jpg,2.0,rock-airplay
4751,These Days,Highly Suspect,https://charts-static.billboard.com/img/2020/03/highly-suspect-yvh-these-days-hdh-53x53.jpg,1.0,rock-airplay
4752,Oh My My,Blue October,https://charts-static.billboard.com/img/2020/03/blue-october-07a-oh-my-my-4aq-53x53.jpg,1.0,rock-airplay
4753,The Difference,Flume Featuring Toro y Moi,https://charts-static.billboard.com/img/2020/03/flume-pfx-the-difference-zs7-53x53.jpg,2.0,rock-airplay
4754,Hollywood,Car Seat Headrest,https://charts-static.billboard.com/img/2020/05/car-seat-headrest-qjm-hollywood-a8y-53x53.jpg,1.0,rock-airplay
4755,A Little Bit Off,Five Finger Death Punch,https://charts-static.billboard.com/img/2007/08/five-finger-death-punch-tza-53x53.jpg,1.0,rock-airplay
4756,Disaster Party,Magic Giant,https://charts-static.billboard.com/img/2020/02/magic-giant-r2w-disaster-party-v0t-53x53.jpg,4.0,rock-airplay
4757,Salt And The Sea,The Lumineers,https://charts-static.billboard.com/img/2019/09/the-lumineers-e8y-53x53.jpg,2.0,rock-airplay
4758,Rolling 7s,Dirty Honey,https://charts-static.billboard.com/img/2019/04/dirty-honey-v3v-53x53.jpg,20.0,rock-airplay
4759,Atlas Falls,Shinedown,https://charts-static.billboard.com/img/2020/04/shinedown-pjk-atlas-falls-e0p-53x53.jpg,1.0,rock-airplay
4760,Bloody Valentine,Machine Gun Kelly,https://charts-static.billboard.com/img/2011/11/machine-gun-kelly-3ma-53x53.jpg,1.0,rock-digital-song-sales
4761,Level Of Concern,twenty one pilots,https://charts-static.billboard.com/img/2012/10/twenty-one-pilots-840-53x53.jpg,5.0,rock-digital-song-sales
4762,Popular Monster,Falling In Reverse,https://charts-static.billboard.com/img/2017/04/falling-in-reverse-53x53.jpg,25.0,rock-digital-song-sales
4763,Don't Stop...(Demo),Oasis,https://charts-static.billboard.com/img/1994/10/oasis-mug-53x53.jpg,1.0,rock-digital-song-sales
4764,Living In A Ghost Town,The Rolling Stones,https://charts-static.billboard.com/img/1964/05/the-rolling-stones-pxx-53x53.jpg,3.0,rock-digital-song-sales
4765,Fix You,Coldplay,https://charts-static.billboard.com/img/2010/07/coldplay-j2u-53x53.jpg,60.0,rock-digital-song-sales
4766,Times Like These,Live Lounge Allstars,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?2f99a4a9bfbde08581fe,2.0,rock-digital-song-sales
4767,Bang!,AJR,https://charts-static.billboard.com/img/2014/05/ajr-k86-53x53.jpg,10.0,rock-digital-song-sales
4768,Hang On,NEEDTOBREATHE,https://charts-static.billboard.com/img/2006/04/needtobreathe-eid-53x53.jpg,2.0,rock-digital-song-sales
4769,River,Bishop Briggs,https://charts-static.billboard.com/img/2016/02/bishop-briggs-9ka-53x53.jpg,38.0,rock-digital-song-sales
4770,Here Comes The Sun,The Beatles,https://charts-static.billboard.com/img/1964/01/the-beatles-w7h-53x53.jpg,25.0,rock-digital-song-sales
4771,Don't Stop Believin',Journey,https://charts-static.billboard.com/img/2007/06/journey-0kv-53x53.jpg,437.0,rock-digital-song-sales
4772,The Sound Of Silence,Disturbed,https://charts-static.billboard.com/img/2015/09/disturbed-425-53x53.jpg,211.0,rock-digital-song-sales
4773,High Hopes,Panic! At The Disco,https://charts-static.billboard.com/img/2018/06/panic-at-the-disco-git-53x53.jpg,102.0,rock-digital-song-sales
4774,Time Of Your Life (Good Riddance),Green Day,https://charts-static.billboard.com/img/2010/05/green-day-qwn-53x53.jpg,22.0,rock-digital-song-sales
4775,Bohemian Rhapsody,Queen,https://charts-static.billboard.com/img/2008/03/queen-m21-53x53.jpg,332.0,rock-digital-song-sales
4776,Home,Phillip Phillips,https://charts-static.billboard.com/img/2012/06/phillip-phillips-1jf-53x53.jpg,112.0,rock-digital-song-sales
4777,Thunderstruck,AC/DC,https://charts-static.billboard.com/img/2012/12/ac-dc-3eb-53x53.jpg,334.0,rock-digital-song-sales
4778,American Pie,Don McLean,https://charts-static.billboard.com/img/1971/11/don-mclean-zii-53x53.jpg,14.0,rock-digital-song-sales
4779,Believer,Imagine Dragons,https://charts-static.billboard.com/img/1840/12/imagine-dragons-hy6-53x53.jpg,163.0,rock-digital-song-sales
4780,Round And Round,Ratt,https://charts-static.billboard.com/img/1984/03/ratt-upw-53x53.jpg,3.0,rock-digital-song-sales
4781,Thunder,Imagine Dragons,https://charts-static.billboard.com/img/2017/05/imagine-dragons-wca-53x53.jpg,152.0,rock-digital-song-sales
4782,You Are The Champions,Queen + Adam Lambert,https://charts-static.billboard.com/img/1973/11/queen-m21-53x53.jpg,1.0,rock-digital-song-sales
4783,Eye Of The Tiger,Survivor,https://charts-static.billboard.com/img/2009/01/survivor-yca-53x53.jpg,321.0,rock-digital-song-sales
4784,Wolf Totem,The Hu Featuring Jacoby Shaddix,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?2f99a4a9bfbde08581fe,8.0,rock-digital-song-sales
4785,Level Of Concern,twenty one pilots,https://charts-static.billboard.com/img/2020/04/twenty-one-pilots-1st-level-of-concern-8s6-53x53.jpg,5.0,alternative-songs
4786,Caution,The Killers,https://charts-static.billboard.com/img/2004/05/the-killers-5bg-53x53.jpg,9.0,alternative-songs
4787,Black Madonna,Cage The Elephant,https://charts-static.billboard.com/img/2019/05/cage-the-elephant-vk8-53x53.jpg,17.0,alternative-songs
4788,Deleter,Grouplove,https://charts-static.billboard.com/img/2020/01/grouplove-cdm-deleter-rrb-53x53.jpg,17.0,alternative-songs
4789,Bang!,AJR,https://charts-static.billboard.com/img/2014/05/ajr-k86-53x53.jpg,11.0,alternative-songs
4790,Lost In Yesterday,Tame Impala,https://charts-static.billboard.com/img/2010/07/tame-impala-ye2-53x53.jpg,16.0,alternative-songs
4791,loneliness for love,lovelytheband,https://charts-static.billboard.com/img/2020/02/lovelytheband-nsh-loneliness-for-love-dzq-53x53.jpg,14.0,alternative-songs
4792,Death Bed,Powfu Featuring beabadoobee,https://charts-static.billboard.com/img/2020/03/powfu-000-death-bed-ne9-53x53.jpg,8.0,alternative-songs
4793,Everything I Wanted,Billie Eilish,https://charts-static.billboard.com/img/2019/11/billie-eilish-acb-everything-i-wanted-mj1-53x53.jpg,25.0,alternative-songs
4794,Your Love (Deja Vu),Glass Animals,https://charts-static.billboard.com/img/2017/05/glass-animals-53x53.jpg,11.0,alternative-songs
4795,Shine A Little Light,The Black Keys,https://charts-static.billboard.com/img/2019/07/the-black-keys-do0-shine-a-little-light-sla-53x53.jpg,16.0,alternative-songs
4796,Used To Like,Neon Trees,https://charts-static.billboard.com/img/1840/12/neon-trees-u6b-53x53.jpg,25.0,alternative-songs
4797,Bad Decisions,The Strokes,https://charts-static.billboard.com/img/2001/09/the-strokes-pwn-53x53.jpg,12.0,alternative-songs
4798,Dissolve,Absofacto,https://charts-static.billboard.com/img/2019/06/absofacto-zsl-53x53.jpg,47.0,alternative-songs
4799,Moral Of The Story,Ashe,https://charts-static.billboard.com/img/2020/03/ashe-000-moral-of-the-story-hfp-53x53.jpg,9.0,alternative-songs
4800,Honeybee,The Head And The Heart,https://charts-static.billboard.com/img/2010/12/the-head-and-the-heart-5gb-53x53.jpg,9.0,alternative-songs
4801,Me & You Together Song,The 1975,https://charts-static.billboard.com/img/2020/02/the-1975-e6h-me-and-you-together-song-g7u-53x53.jpg,15.0,alternative-songs
4802,how will i rest in peace if i'm buried by a highway?//,KennyHoopla,https://charts-static.billboard.com/img/2020/02/kennyhoopla-000-how-will-i-rest-in-peace-if-im-buried-by-a-highway--3y3-53x53.jpg,12.0,alternative-songs
4803,Hallucinogenics,Matt Maeson,https://charts-static.billboard.com/img/2020/04/matt-maeson-u75-hallucinogenics-rp5-53x53.jpg,4.0,alternative-songs
4804,Who's Gonna Love Me Now,Cold War Kids,https://charts-static.billboard.com/img/2017/04/cold-war-kids-53x53.jpg,12.0,alternative-songs
4805,Oh Yeah!,Green Day,https://charts-static.billboard.com/img/2016/12/green-day-53x53.jpg,16.0,alternative-songs
4806,Lay Your Head On Me,Major Lazer Featuring Marcus Mumford,https://charts-static.billboard.com/img/2020/04/major-lazer-000-lay-your-head-on-me-pt4-53x53.jpg,6.0,alternative-songs
4807,Oh My My,Blue October,https://charts-static.billboard.com/img/2020/03/blue-october-07a-oh-my-my-4aq-53x53.jpg,9.0,alternative-songs
4808,Disaster Party,Magic Giant,https://charts-static.billboard.com/img/2020/02/magic-giant-r2w-disaster-party-v0t-53x53.jpg,11.0,alternative-songs
4809,City Of Angels,24kGoldn,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?dbe85e947231a7ccaa2d,6.0,alternative-songs
4810,Hell N Back,Bakar,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?dbe85e947231a7ccaa2d,12.0,alternative-songs
4811,Half Your Age,Joywave,https://charts-static.billboard.com/img/2020/02/joywave-9sn-half-your-age-rgw-53x53.jpg,12.0,alternative-songs
4812,Not OK!,Chaz Cardigan,https://charts-static.billboard.com/img/2020/05/chaz-cardigan-000-not-ok-rdw-53x53.jpg,2.0,alternative-songs
4813,Someone Else,REZZ x Grabbitz,https://charts-static.billboard.com/img/2016/10/rezz-l5y-87x87.jpg,2.0,alternative-songs
4814,Forever,CHVRCHES,https://charts-static.billboard.com/img/2013/04/chvrches-qbf-53x53.jpg,3.0,alternative-songs
4815,Let's Fall In Love For The Night,FINNEAS,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?dbe85e947231a7ccaa2d,14.0,alternative-songs
4816,Check Your Phone,cheapcuts Featuring Pete Wentz,https://www.billboard.com/assets/1588965272/images/charts/bb-placeholder-new.jpg?dbe85e947231a7ccaa2d,3.0,alternative-songs
4817,The Difference,Flume Featuring Toro y Moi,https://charts-static.billboard.com/img/2020/03/flume-pfx-the-difference-zs7-53x53.jpg,3.0,alternative-songs
4818,Hollywood,Car Seat Headrest,https://charts-static.billboard.com/img/2020/05/car-seat-headrest-qjm-hollywood-a8y-53x53.jpg,2.0,alternative-songs
4819,Come On Out,The Airborne Toxic Event,https://charts-static.billboard.com/img/2008/08/the-airborne-toxic-event-cvz-53x53.jpg,1.0,alternative-songs
4820,Champion Of The World,Coldplay,https://charts-static.billboard.com/img/2019/12/coldplay-j2u-champion-of-the-world-p7a-53x53.jpg,8.0,alternative-songs
4821,Give A Little Bit More (Disaster),Bleeker,https://charts-static.billboard.com/img/2016/09/bleeker-VSL-53x53.jpg,3.0,alternative-songs
4822,Mayday!!! Fiesta Fever,AWOLNATION,https://charts-static.billboard.com/img/2011/02/awolnation-vcg-53x53.jpg,1.0,alternative-songs
4823,Real Long Time,White Reaper,https://charts-static.billboard.com/img/2020/05/white-reaper-9jw-real-long-time-6gi-53x53.jpg,1.0,alternative-songs
4824,These Days,Highly Suspect,https://charts-static.billboard.com/img/2020/03/highly-suspect-yvh-these-days-hdh-53x53.jpg,2.0,alternative-songs
4825,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,https://charts-static.billboard.com/img/2019/04/billie-eilish-1e3-when-we-all-fall-asleep-where-do-we-go-ye3-53x53.jpg,58.0,alternative-albums
4826,Dont Smile At Me,Billie Eilish,https://charts-static.billboard.com/img/2017/10/billie-eilish-1e3-dont-smile-at-me-hbg-53x53.jpg,124.0,alternative-albums
4827,Cry Baby,Melanie Martinez,https://charts-static.billboard.com/img/2015/09/melanie-martinez-l59-cry-baby-tnd-53x53.jpg,118.0,alternative-albums
4828,The Kids Are Coming (EP),Tones And I,https://charts-static.billboard.com/img/2019/09/tones-and-i-e8g-the-kids-are-coming-ep-ojp-53x53.jpg,34.0,alternative-albums
4829,Greatest Hits: God's Favorite Band,Green Day,https://charts-static.billboard.com/img/2017/12/green-day-qwn-53x53.jpg,44.0,alternative-albums
4830,Evolve,Imagine Dragons,https://charts-static.billboard.com/img/2017/07/imagine-dragons-wca-evolve-xpn-53x53.jpg,150.0,alternative-albums
4831,Greatest Hits,Red Hot Chili Peppers,https://charts-static.billboard.com/img/2003/12/red-hot-chili-peppers-c0t-greatest-hits-mir-53x53.jpg,132.0,alternative-albums
