chartmetric_artist_id,cpp_rank,spotify_popularity,spotify_followers,spotify_monthly_listeners,spotify_listeners_to_followers_ratio,facebook_likes,facebook_talks,youtube_channel_views,youtube_subscribers,wikipedia_views,soundcloud_followers
568307,60593.0,36,80773,54438.0,0.6739628341,43803.0,123.0,2333.0,17.0,,160.0
184381,34941.0,45,80777,172231.0,2.132178714,,,571008.0,,167.0,
613682,54514.0,39,80778,84922.0,1.051301097,,,,,19.0,321.0
217463,13442.0,46,80786,333483.0,4.127980096,25141.0,36.0,,,3416.0,
3752,9024.0,53,80798,662117.0,8.194720166,67066.0,19.0,7131854.0,15600.0,46.0,679726.0
209069,33556.0,44,80803,183994.0,2.277068921,3844.0,14.0,410742.0,1510.0,207.0,85.0
140615,44893.0,43,80804,118364.0,1.4648284740000002,3720.0,3.0,1229113.0,1920.0,16.0,
62617,83702.0,33,80821,20089.0,0.2485616362,120821.0,159.0,73200.0,2670.0,,399.0
1181,11369.0,50,80827,391962.0,4.849394386,281080.0,57.0,,,836.0,
613755,8890.0,59,80849,853859.0,10.561157219,87931.0,5375.0,,,91.0,95045.0
376551,16206.0,54,80867,244738.0,3.026426107,49742.0,0.0,3816272.0,6490.0,,1607.0
272,3374.0,46,80893,172325.0,2.130283214,48211647.0,30152.0,,,24047.0,
10488,42686.0,53,80894,130378.0,1.611714095,808.0,0.0,,,29.0,856.0
211844,22756.0,48,80896,276739.0,3.420923161,302224.0,4704.0,498676.0,,627.0,
104715,12679.0,52,80897,478293.0,5.912370051,247168.0,7590.0,81420520.0,135000.0,606.0,
341443,10113.0,42,80905,61373.0,0.7585810519,17255053.0,17408.0,,,2287.0,
198951,23041.0,52,80905,282625.0,3.493294605,63760.0,52.0,2611114.0,20100.0,104.0,58136.0
298879,13400.0,55,80911,626222.0,7.7396398510000015,22937.0,53.0,,,1.0,
23484,48850.0,49,80929,89902.0,1.110874964,35669.0,157.0,30559.0,53.0,,
1017640,23143.0,51,80933,210817.0,2.604833628,107395.0,27707.0,8462266.0,132000.0,,
210745,33875.0,49,80934,198891.0,2.457446809,6479.0,56.0,2354306.0,7380.0,6.0,1125.0
207760,3203.0,65,80939,2292477.0,28.32351524,43623.0,59.0,13906833.0,24600.0,,229.0
344132,722.0,74,80943,6118712.0,75.592849289,57014.0,49.0,,,50.0,45.0
105011,51366.0,40,80946,83598.0,1.032762582,22073.0,35.0,4792940.0,30200.0,,9607.0
324500,6496.0,55,80948,652415.0,8.059680289,8023.0,88.0,859611.0,5450.0,,4411.0
1050,7796.0,58,80950,1080913.0,13.352847437000001,22811.0,19.0,,,374.0,
651939,13325.0,49,80952,141590.0,1.7490611719999998,1780.0,35.0,,,3817.0,
620675,36464.0,39,80961,104773.0,1.29411692,7790.0,390.0,,,676.0,
170023,48139.0,40,80966,108757.0,1.343242843,,,24009.0,96.0,41.0,37.0
90670,103324.0,20,80980,7690.0,0.09496171894,168510.0,214.0,,,,
208286,2472.0,66,80989,3157250.0,38.983689143,43354.0,17.0,5593471.0,7750.0,15.0,7634.0
1056,21402.0,56,80995,346231.0,4.274720662,,,,,332.0,
207706,15056.0,55,81021,487695.0,6.01936535,35862.0,83.0,17574145.0,67800.0,1.0,8403.0
565210,56627.0,39,81031,42636.0,0.5261689971,546142.0,5670.0,3649091.0,45200.0,196.0,
425330,18761.0,51,81031,310225.0,3.828473054,,,,,118.0,
722729,9816.0,67,81065,873353.0,10.773490409,100847.0,1168.0,,,21.0,
206537,36889.0,45,81087,147775.0,1.822425296,80339.0,40.0,11789439.0,46400.0,62.0,3587.0
148458,20389.0,43,81110,104606.0,1.289680681,,,,,696.0,
20742,10401.0,37,81127,28885.0,0.3560466922,245105.0,645.0,,,39.0,296.0
662058,16884.0,57,81135,408670.0,5.036913786,24705.0,202.0,24184158.0,108000.0,,
742725,31638.0,59,81139,230136.0,2.836317924,,,,,,
240570,28920.0,47,81153,259429.0,3.196788782,817.0,,,,,
160529,40733.0,50,81165,148834.0,1.833721432,,,41997.0,750.0,25.0,152.0
217647,4212.0,63,81172,1849915.0,22.790063076,34574.0,4734.0,45366790.0,126000.0,,8149.0
311786,25638.0,47,81179,73124.0,0.9007748309,1106365.0,10606.0,107301890.0,1050000.0,,
81763,26687.0,47,81187,236038.0,2.907337382,144501.0,55.0,37275120.0,110000.0,80.0,
206648,35662.0,48,81195,168327.0,2.073120266,134954.0,161.0,,,124.0,
28611,32171.0,48,81214,210706.0,2.594454158,222312.0,300.0,230699.0,1460.0,60.0,
3215,20207.0,51,81217,372055.0,4.580999052,157431.0,1474.0,5359943.0,23100.0,25.0,
33688,25429.0,31,81227,20675.0,0.254533591,266532.0,134.0,41293.0,369.0,2821.0,
484892,24843.0,49,81239,281128.0,3.460505422,102854.0,77.0,5035046.0,11400.0,,78.0
2352,45440.0,44,81244,105308.0,1.29619418,161801.0,80.0,,,104.0,
2033,19290.0,58,81246,363344.0,4.472146321,140667.0,124.0,61682323.0,48800.0,15.0,
216154,30176.0,45,81273,152569.0,1.877240904,183695.0,683.0,,,,215950.0
214508,39422.0,46,81281,127399.0,1.567389673,2185.0,1.0,,,204.0,1295.0
409165,37473.0,46,81283,157988.0,1.94367826,46008.0,135.0,,,57.0,2092.0
458209,25939.0,45,81289,156164.0,1.921096335,250403.0,753.0,,,1312.0,
1454923,38869.0,47,81312,168086.0,2.067173357,15054.0,,,,,
13647,72900.0,38,81328,42825.0,0.5265714145,,,,,,
209833,7850.0,60,81367,999121.0,12.27919181,36388.0,92.0,73535284.0,351000.0,,14304.0
181606,24639.0,50,81372,264243.0,3.247345524,140964.0,139.0,8520995.0,62300.0,82.0,37217.0
212218,16593.0,47,81395,213112.0,2.618244364,194319.0,837.0,7020192.0,25900.0,60.0,
3200,11057.0,50,81408,432819.0,5.31666421,92487.0,38.0,69950144.0,82000.0,195.0,2627.0
207798,33085.0,46,81410,180980.0,2.223068419,65145.0,132.0,4310847.0,17300.0,75.0,4087.0
206539,18821.0,51,81412,406166.0,4.989018818,38671.0,23.0,1340300.0,7060.0,28.0,262.0
482441,17320.0,58,81413,471431.0,5.790610836,5810.0,35.0,,,17.0,
217026,24392.0,49,81413,230220.0,2.8278039130000003,784182.0,20334.0,3041800.0,19200.0,1044.0,
763198,13957.0,56,81417,579757.0,7.120834715,8446.0,29.0,1591228.0,12500.0,,942.0
4784,11426.0,56,81429,676827.0,8.31186678,50323.0,127.0,24817878.0,42100.0,89.0,20585.0
1435071,2441.0,66,81441,2426015.0,29.788619983,,,26680904.0,193000.0,,15653.0
469014,27337.0,59,81456,274724.0,3.372667452,2843.0,2.0,,,,608.0
