cm_artist,artist_name,spotify_artist_id,itunes_artist_id,deezer_artist_id
3684762,remorse.,5Jhn3fF467VLD2r8hIXfwJ,,
3684728,Jaytuin,1EDraa7maAVwVRFByMNNBZ,,
3684721,Jayee,3ENnr4LhvaiI3Uvce7gvrK,,
3684710,Kami,00bsRddHiCR4V1ie5PKnVP,,
3684702,Sueño Meditación,5GniqoiR5Y7gk0ijp2Ff1y,,
3684696,Liam Hillyer,0nRLO0GE0EVSQYJ1VEVjhm,,
3684686,Jake Compton,7zDL9z4UewZxLgSsrzUco1,,
3684682,Money G,6Ay2HtNPtlokLVsq1FXH9J,,
3684679,Wingel,4h9PWZh9JdhRBwDJfcMVOR,,
3684662,DELLY WEST,5s3QY1XJupNIMTKZpTBHm6,,
3684661,Sound of Muses,5l9VrNt92FCVro9qeWKBwi,,
3684647,TookaDaDevil,42wnj39xHBAFYQbmz2UZxF,,
3684635,Kinitial,7o510UCN2g9IfpO981ENMN,,
3684621,Slim Gwynn,1JOilOdqvVZzReDxuXYPl2,,
3684615,Cyberkid McCoy,3ISmXSNb1wSOOrekgNmX5T,,
3684604,Jackside,2YUoJyBQCHUbzLOEG8Rwux,,
3684600,Lil Kage,0YmeEcOHZoBoFgf2ZDdYLu,,
3684588,MarQoz,6zsSzq4Fc7xMCAKsYcqvaw,,
3684535,Modulo.Tgb,1QG8rPIifVd5DFnQ0sp2HH,,
3684534,The Ganyo,1XRErztmwGC9jKhzkxLlJx,,
3684524,Treyvon the kid,5ir9BQrYRJznqUgBxfsnsm,,
3684523,Tedy Rose,1fHWnUrzZdaMI51BM5dsUT,,
3684516,Big $oho FAB,7JfNssDHPCRtPpXF9MWk2z,,
3684508,MarcyKeyz,0Zcw0eJz325OWsk99rnLcy,,
3684498,YarlGO,1tAiipt5j011XFkh6gElPB,,
3684494,Desmond Trim,1WaB9m99jyn3iZ9EloV16g,,
3684493,Desmond C. Trim,5WKpxBSC6hwEuQJSFDfbf4,,
3684490,Elisha A. Hoffman,46oe33IWZW1tpLNhN9c4h8,,
3684447,Aerial Flux,3KxB5yF9Zq0EpxjkmB2y8A,,
3684434,Buka Mutoto,4ZOgCog6HnI2k8emnE4XrT,,
3684432,Zelão,4X2DWUECaBYrK47ElYgDnj,,
3684417,Ms. Burna Monroe,6kXUUgfUdotEandrRYVUG8,,
3684409,Krystal Carter,7naxAU9Ts007fAWTyEaI0h,,
3684405,Mohaid,21DMwBSCeYGfHTnrfAXCYx,,
3684403,Teddy Ortanca,0B7IkPgL2Ng9HSWg7xVTty,,
3684393,Jungle D Wise,6ndC9eH0oHpo8UWFB3bKtt,,
3684380,Monza Sound,4LUuFOV4TEs8NaUX7n11rB,,
3684373,無花果,1iHnBRXfMKZCFy0RXni7Br,,
3684367,Samuel Butler,1d2SsfTnE50Wdh3Y0LSOY8,,
3684358,Mike The Spliff,0ucRV7H66kpN0mEc69b2Rz,,
3684348,James Rodrick,3RnC9qUUt66FvtzaqrTYw7,,
3684343,Diva,0AnZtbT7jczjdiX68DR6zd,,
3684342,ChrisBoutBandzz,1Vhh31r3GtQfXjCXSU94WM,,
3684339,Skyler Thomas,6me8a6vmSsTALP4lwg0Ic7,,
3684290,RICKFLXX,78hUbuKeICAXKm6zn78px5,,
3684277,Meereswellen für den Schlaf,6Pqk6W6ASzCdIO9ffgi2tP,,
3684256,I have no name,10tf4pC326hbftrjskjpB1,,
3684230,Arig the One,4sX9BKFrwilXhL7pF52znw,,
3684215,iram bernardo,2EINzhcbEB2xTlSQp79rrM,,
3684202,Kyelbi,4MH2oVgRe35B6dTtrAL9Tb,,
3684190,JuggKing Nas,38iEdf5RiWiaLMiTAKavQL,,
3684173,Filio,29tmbeJguSn166iy99OVAu,,
3684172,Patexx,0J2Bj6ZXvLPB6nfir2XHxE,,
3684161,Harvey II Face,0666Cn6tS0YzujofpR94cJ,,
3684152,th;en,2YeOBpvtudbFAgAE7WPugA,,
3684143,Tiffany Blair,0kxSvZWAOx7xxk1xThQwfq,,
3684128,Lille Lax,7t6Dxj1EJuX3WSeG4I2Lxv,,
3684120,Lori Mark,2q9VT82vnyYZ2MCFMZ2byK,,
3684119,Dj Fx,0j2v101kKRnzGXWRGDAdfn,,
3684118,Jason Brice,02olJm4elO2Fofs9RGvRbq,,
3684084,Simone Lampedone,4yPm5g8nxKlWzh3yT0PSVw,,
3684048,Culley,00MAHh6YCOp2oEf4LEtYmw,,
3684039,Subliminals,3TQgcDjMJ1U0kamunYGa6v,,
3684032,Higyanshi,2JvqtkTKW5pxey2ClFYUkI,,
3684027,Jaclyn,5IXzMnGft2X4zIiJyYKK0V,,
3684021,Brenda Cline,1pnzgegzpORim6xWsHfJMe,,
3684017,Ana Estevez,0j5bZUjQjm5iCMLuJbVKzp,,
3683973,Íkaro Madrid,2ZBl1e8h9qmIDxH9S1dEag,,
3683971,Armero,4Cf84aQWlJ3bh8zQTiJfSX,,
3683965,Rashawn KiiXX,2OnKG8pt8fd8llut8qbSnb,,
3683963,John Doe,4gQRPAUrG2XLd9uclBypaU,,
3683962,Gabrielė Martirosian,3kmzTouGTeGrrc5AAXJwCe,,
3683955,Arranged & Conducted by Johnny Scott,5KYVjUJ1ofmiWluf4fxsH0,,
3683953,KVSIW,7f3BMktF5hA901tlnek8Ty,,
3683939,Kayrxn,4fXGKaJFbCqwzYu6dsB6Dy,,
3683929,The Scenic Route,169NAUbTkJUY1ou129h2m7,,
3683900,Freddie Bubbs,1y9QmMEPTPDj2GwMSBnlsO,,
3683898,Alex Saudinós,2TErTAqbCGKwX5fPETWase,,
3683895,Willy,5lwEbq3uFzFqaXtM7suEKf,,
