,artist,track,chart,tracks_uri,albums_uris
86,Jordan Davis,Slow Dance In A Parking Lot,hot-100,spotify:track:6MBUUSIWCzaXW4q58Ktrv9,spotify:album:3CXa4AY5Rt4kymz1vW90WR
87,NAV,Turks,hot-100,spotify:track:0lSZh5W0wDeurkGzLYY6hf,spotify:album:2nfOFXxNyf61geA17cW6e6
88,Jake Owen,Homemade,hot-100,spotify:track:31JID2STTlLuFqXFWHyM8e,spotify:album:6DcjgwmNJdsl2BODdwPOH6
89,Halsey,You Should Be Sad,hot-100,spotify:track:7lidXGPXPYLNThITAOTlkK,spotify:album:68enXe5XcJdciSDAZr0Alr
90,Maddie ,Die From A Broken Heart,hot-100,spotify:track:1kFpL1itkwkdhO6kcmNJra,spotify:album:4DPIFHZfh65TPPGem973zy
91,Thomas Rhett,Be A Light,hot-100,spotify:track:5o6dFqafETxZNqUFt9ZqAC,spotify:album:6NUcdndmwC54yLd0KosGI2
92,Lil Baby ,Heatin Up,hot-100,spotify:track:7KSSdFCBHCfq4KPzz78ghk,spotify:album:1ynyQdPQiXdYJNQEDL1S3d
93,Summer Walker ,Come Thru,hot-100,spotify:track:3TTMUI5dFcbeNSDTTDY9M8,spotify:album:1qgJNWnPIeK9rx7hF8JCPK
94,DaBaby,Find My Way,hot-100,spotify:track:1gVCEnryJhkdQcuC0Kbvor,spotify:album:623PL2MBg50Br5dLXC9E9e
95,Florida Georgia Line,I Love My Country,hot-100,spotify:track:16kqEZBfhhK8XlQpauKej1,spotify:album:6HQLji6pkqG4guxd9YcFTP
96,Lil Baby,My Turn,billboard-200,spotify:track:6AyWdCtEn1DdxjnxPeojR2,spotify:album:1ynyQdPQiXdYJNQEDL1S3d
97,DaBaby,BLAME IT ON BABY,billboard-200,spotify:track:0jWm0VyD8p3MrSInczpows,spotify:album:623PL2MBg50Br5dLXC9E9e
98,The Weeknd,After Hours,billboard-200,spotify:track:2p8IUWQDrpjuFltbdgLOag,spotify:album:4yP0hdKOZPNshxUOjY0cZj
99,Megan Thee Stallion,Suga,billboard-200,spotify:track:6stumfoIQv2Jb0A9pZjCGP,spotify:album:6cpPIYoXlLHhCXHvbKUaEo
100,Post Malone,Hollywood's Bleeding,billboard-200,spotify:track:7sWRlDoTDX8geTR8zzr2vt,spotify:album:4g1ZRSobMefqF6nelkgibi
101,Luke Combs,What You See Is What You Get,billboard-200,spotify:track:273TiTHLlHSRe5zrzs7wvD,spotify:album:0S9D5NIDp2YXhYwlvuJzqx
102,Billie Eilish,"When We All Fall Asleep, Where Do We Go?",billboard-200,spotify:track:43zdsphuZLzwA9k4DJhU0I,spotify:album:0S0KGZnfBGSIssfF54WSJh
103,Dua Lipa,Future Nostalgia,billboard-200,spotify:track:6zrJLhslleCHby0wbUnvVy,spotify:album:7fJJK56U9fHixgO0HQkhtI
104,Luke Combs,This One's For You,billboard-200,spotify:track:02Ey48n33H3erWJRZAtTFj,spotify:album:1lhNch5NkOONvFhRPh8qaj
105,Rod Wave,Pray 4 Love,billboard-200,spotify:track:1R74u0lecpWcs4amvso6l8,spotify:album:5tXSMd6VfsbXyksKLhSsMK
106,Harry Styles,Fine Line,billboard-200,spotify:track:6VzcQuzTNTMFnJ6rBSaLH9,spotify:album:7xV2TzoaVc0ycW7fwBwAml
107,Morgan Wallen,If I Know Me,billboard-200,spotify:track:03d8S7FBY2kIzhP0E7l4rn,spotify:album:1IR2nlwX6YVTXXeu2qzoWO
108,Justin Bieber,Changes,billboard-200,spotify:track:521Os1SMlxmsoevsqyjNmJ,spotify:album:63iWSELt9V1kV6RSMxN7Ii
109,Queen,Greatest Hits,billboard-200,spotify:track:7oj3PiEtU7XWkZ2R79z1H2,spotify:album:1yKEuP0PwMdurctqhEfhNd
110,Summer Walker,Over It,billboard-200,spotify:track:0csmcZqM3uTKfjxehw0Lw2,spotify:album:1qgJNWnPIeK9rx7hF8JCPK
111,Taylor Swift,Lover,billboard-200,spotify:track:1dGr1c8CrMLDpV6mPbImSI,spotify:album:1NAmidJlEaVgA3MpcPFYGq
112,Elevation Worship,Graves Into Gardens,billboard-200,spotify:track:0pNizrRmvu5S16fH6ccm0v,spotify:album:3AYUzOtIQoLrxDZNwaPErh
113,JACKBOYS,JACKBOYS,billboard-200,spotify:track:62zKJrpbLxz6InR3tGyr7o,spotify:album:1Sf8GsXG32t0jNrX11xqWx
114,Tory Lanez,The New Toronto 3,billboard-200,spotify:track:7n0lXKEOaFxrAU0R93fIQh,spotify:album:2TbrXjwWklhT7JrC5sdUkf
115,Elton John,Diamonds,billboard-200,spotify:track:13JsYnkF16pHKuOFG6uI1C,spotify:album:4UcpKa4yD9AA3iEHI8MFSF
116,Lizzo,Cuz I Love You,billboard-200,spotify:track:6YdQgWSpsxhVeX6Xmv3IFJ,spotify:album:6dFFcYQ8VhifgdKgYY5LYL
117,Don Toliver,Heaven Or Hell,billboard-200,spotify:track:1h0pnN5qyrpfQMnwrGzuCu,spotify:album:7z4GhRfLqfSkqrj5F3Yt2B
118,Chris Brown ,Slime & B,billboard-200,spotify:track:4dhZy7EbsbhwIS7C6Ct8mI,spotify:album:7fZKtzZAsfH0kzeTivu5TG
119,YoungBoy Never Broke Again,AI YoungBoy 2,billboard-200,spotify:track:485RHcQUM5qotAlfutUhwT,spotify:album:5vjOhA7AkB9WK7I2NnzIex
