,track,artist,art_genres,chart,tracks_uri,albums_uris,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1486,Two Dozen Roses,Shenandoah,"['native american', 'shamanic']",greatest-country-songs,spotify:track:0e05wFNr6zg1ULcp4NKs1p,spotify:album:53ggnni69yCjLQIboZCc3e,60,0.314,0.687,0.648,1.37e-06,4.0,0.289,-9.137,1.0,0.027,121.341,4.0,0.6
1487,If We Make It Through December,Merle Haggard,"['bakersfield sound', 'country', 'country rock', 'nashville sound', 'outlaw country']",greatest-country-songs,spotify:track:4sTlOOWxFx5dR7SZmi7S79,spotify:album:1zV3LT0oE6DW2BWnrNOXf8,42,0.716,0.741,0.29,6.08e-05,0.0,0.276,-14.311,1.0,0.0381,95.074,4.0,0.596
1488,Die A Happy Man,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",greatest-country-songs,spotify:track:6uTb5oNK9RkTjxmh73W7MG,spotify:album:5EJgQd6IcN7xvdmpARRk5b,64,0.418,0.595,0.389,1.39e-06,2.0,0.116,-9.245,1.0,0.0349,166.052,4.0,0.4
1489,There Won't Be Anymore,Charlie Rich,"['arkansas country', 'country', 'country rock', 'nashville sound']",greatest-country-songs,spotify:track:3RRKZ8a8SCtiPZ5qdK2Hos,spotify:album:4GvkVUwv0zvLJvxmhaw0uJ,40,0.932,0.547,0.28,0.00782,5.0,0.188,-14.353,1.0,0.027,103.342,4.0,0.653
1490,God Gave Me You,Blake Shelton,"['contemporary country', 'country', 'country road', 'oklahoma country']",greatest-country-songs,spotify:track:68Pux358EOhXmQqln37bj4,spotify:album:7qyfoJ9YCVfBnePdxBFbhx,44,0.00481,0.483,0.844,7.29e-05,2.0,0.405,-5.043,1.0,0.0314,151.977,4.0,0.543
1491,My Heart Skips A Beat,Buck Owens,"['bakersfield sound', 'country', 'country rock', 'cowboy western', 'traditional folk']",greatest-country-songs,spotify:track:1jGa3ZVWNhqes22ZoVBfOJ,spotify:album:6c31q0EiGPqzNVDKfQzyzt,51,0.285,0.609,0.569,0.0,9.0,0.0586,-6.359,1.0,0.0371,86.583,4.0,0.787
1492,"Baby, Baby (I Know You're A Lady)",David Houston,['nashville sound'],greatest-country-songs,spotify:track:2As4aDA91Z3CGKzU0gSHid,spotify:album:19xvzwcaYqcGYxBOEYERuw,5,0.537,0.564,0.426,0.00152,0.0,0.212,-13.442,1.0,0.0403,170.306,4.0,0.657
1493,(I'm So) Afraid Of Losing You Again,Charley Pride,"['classic country pop', 'country', 'country rock', 'nashville sound']",greatest-country-songs,spotify:track:44cnTWrY1GPOkoq5WS0ooF,spotify:album:4G5CAz63z70mkeY5fRHgnb,11,0.532,0.515,0.446,0.00533,4.0,0.13,-12.606,1.0,0.037,109.283,4.0,0.536
1494,I Fall To Pieces,Patsy Cline,"['adult standards', 'nashville sound']",greatest-country-songs,spotify:track:6zFsz86nAj5gcvzyVqNL3k,spotify:album:54Ykk8Gg8TuHjLbYvErsKh,62,0.917,0.481,0.0568,0.0,10.0,0.12,-20.508,1.0,0.0357,111.799,4.0,0.505
1495,Pickup Man,Joe Diffie,"['country', 'country road', 'country rock', 'oklahoma country']",greatest-country-songs,spotify:track:3QvOV1QYPPre7gjppKyeON,spotify:album:6CUTxBQse7shPPF33yCRd0,61,0.434,0.709,0.757,0.0,7.0,0.336,-7.006,1.0,0.0408,140.664,4.0,0.852
1496,Just Got Started Lovin' You,James Otto,"['contemporary country', 'country', 'country road', 'modern country rock']",greatest-country-songs,spotify:track:4b0XF7CDpJEBAdVHMw7amV,spotify:album:79uExtsVJH2aNcS2Xu4Cim,60,0.159,0.705,0.606,0.00149,7.0,0.242,-7.047,1.0,0.0243,98.001,4.0,0.876
1497,Our Song,Taylor Swift,"['dance pop', 'pop', 'post-teen pop']",greatest-country-songs,spotify:track:43H3q2NWT9LCuYS1B5IUvV,spotify:album:2rU7u7C2v5i45MFVxx7xG1,62,0.113,0.667,0.659,0.0,2.0,0.325,-4.932,1.0,0.0298,89.128,4.0,0.575
1498,Girl Crush,Little Big Town,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",greatest-country-songs,spotify:track:11qh54D0PKkBwelpDxxiEU,spotify:album:49lwR8y1i51wrQRnhw5C3H,70,0.842,0.5,0.225,0.0,0.0,0.112,-10.22,1.0,0.0302,173.788,3.0,0.355
1499,Killin' Time,Clint Black,"['country', 'country road', 'country rock']",greatest-country-songs,spotify:track:4H2TRR9FjnnIwxGnIt9stO,spotify:album:3fsGT85qu4Jhvs9htCgygz,58,0.455,0.714,0.522,1.02e-05,7.0,0.0967,-9.773,1.0,0.0283,121.312,4.0,0.69
1500,If You Leave Me Tonight I'Ll Cry,Jerry Wallace,['deep adult standards'],greatest-country-songs,spotify:track:3IrMBPCdWq5luadmICJqqs,spotify:album:0w910mO4DOMTcnSWUSePUS,10,0.587,0.585,0.248,2.3e-06,2.0,0.0962,-16.853,1.0,0.0313,117.395,3.0,0.56
