,artist,uri,followers,genres,popularity,spotify_id,chart
2393,Manuel Carrasco,spotify:artist:7qAoXV4U0qDxQAUqhszjAA,1337382,"['carnaval cadiz', 'latin pop', 'spanish pop']",71,7qAoXV4U0qDxQAUqhszjAA,spain-digital-song-sales
2394,Paloma Mami,spotify:artist:7rOlQwf8OuFLFQp4aydjBt,701626,"['latin pop', 'reggaeton chileno', 'trap chileno']",70,7rOlQwf8OuFLFQp4aydjBt,spain-digital-song-sales
2395,Vitaa,spotify:artist:0Ntl0oWMPWfBOoi9Qcr9ht,455283,"['francoton', 'french pop']",69,0Ntl0oWMPWfBOoi9Qcr9ht,switzerland-digital-song-sales
2396,Birds Of Tokyo,spotify:artist:25ou7Y6W7L1fcMoCZMbf86,159680,"['australian alternative rock', 'australian indie', 'australian pop', 'australian rock', 'perth indie']",62,25ou7Y6W7L1fcMoCZMbf86,australian-albums
2397,Hilltop Hoods,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,540753,"['australian hip hop', 'australian pop']",69,7dlqUnjoF2U2DkNDMhcgG4,australia-digital-song-sales
2398,Endor,spotify:artist:6F3vLfyutkUhpM50G84eMt,18317,"['deep groove house', 'house', 'scottish rock']",68,6F3vLfyutkUhpM50G84eMt,australia-digital-song-sales
2399,Dave Alvin,spotify:artist:1QSEKTN8PPjVzniAkpJ90p,19561,"['alternative country', 'country rock', 'folk', 'heartland rock', 'new americana', 'pub rock', 'roots rock', 'texas country', 'traditional folk']",41,1QSEKTN8PPjVzniAkpJ90p,blues-albums
2400,David Grissom,spotify:artist:6IqRTh75wzqgbhpwx7pgyV,2526,[],21,6IqRTh75wzqgbhpwx7pgyV,blues-albums
2401,Marcus King,spotify:artist:0tgaHqkU1p7QhBUIzKXVU9,116292,"['deep new americana', 'funk', 'indie folk', 'jam band', 'modern blues', 'modern blues rock', 'rock']",55,0tgaHqkU1p7QhBUIzKXVU9,blues-albums
2402,"Christone ""Kingfish"" Ingram",spotify:artist:5jMGnqJkgPaiJzwy5bOcYX,47757,['modern blues'],45,5jMGnqJkgPaiJzwy5bOcYX,blues-albums
2403,Robert Cray Band,spotify:artist:6cAtGdArQhrU7tTBoeWY3P,57969,"['blues', 'blues rock', 'electric blues', 'modern blues']",41,6cAtGdArQhrU7tTBoeWY3P,blues-albums
2404,The Teskey Brothers,spotify:artist:2nTjd2lNo1GVEfXM3bCnsh,172261,"['australian americana', 'funk']",63,2nTjd2lNo1GVEfXM3bCnsh,blues-albums
2405,David Bromberg Band,spotify:artist:2nTjd2lNo1GVEfXM3bCnsh,172261,"['australian americana', 'funk']",63,2nTjd2lNo1GVEfXM3bCnsh,blues-albums
2406,Keb' Mo',spotify:artist:6iDaoPZVgxrTkndDCisX8F,191113,"['blues', 'blues rock', 'country blues', 'country rock', 'electric blues', 'modern blues', 'piedmont blues', 'roots rock', 'traditional blues']",56,6iDaoPZVgxrTkndDCisX8F,blues-albums
2407,Peter Frampton Band,spotify:artist:0JvNeHGFrPqynXe5EszItO,1632,[],32,0JvNeHGFrPqynXe5EszItO,blues-albums
2408,Kenny Wayne Shepherd Band,spotify:artist:1riHqX633Kup3mJAw8WR8p,199543,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'modern blues', 'modern blues rock', 'rock']",60,1riHqX633Kup3mJAw8WR8p,blues-albums
2409,Will Bernard,spotify:artist:0SZTSny7KuJ3mNIqCyveJr,1501,[],28,0SZTSny7KuJ3mNIqCyveJr,blues-albums
2410,Beth Hart,spotify:artist:30TrHDLNCKQVTYWOn9QqOC,216234,"['blues rock', 'lilith', 'modern blues']",58,30TrHDLNCKQVTYWOn9QqOC,blues-albums
2411,Samantha Fish,spotify:artist:5HsS48kuvghKcNpwOaAvB5,56808,"['kc indie', 'modern blues', 'modern blues rock']",45,5HsS48kuvghKcNpwOaAvB5,blues-albums
2412,John Primer,spotify:artist:1CePnHlc38UfIQovWgyzKP,4581,"['blues', 'electric blues', 'modern blues', 'soul blues']",29,1CePnHlc38UfIQovWgyzKP,blues-albums
2413,Tedeschi Trucks Band,spotify:artist:2gFsmDBM0hkoZPmrO5EdyO,232063,"['blues rock', 'electric blues', 'folk rock', 'funk', 'jam band', 'mellow gold', 'modern blues', 'new americana', 'rock', 'roots rock']",57,2gFsmDBM0hkoZPmrO5EdyO,blues-albums
2414,Chris Young,spotify:artist:4BYxqVkZyFjtik7crYLg5Q,1838357,"['contemporary country', 'country', 'country road', 'modern country rock']",72,4BYxqVkZyFjtik7crYLg5Q,bubbling-under-hot-100-singles
2415,Original Broadway Cast Recording,spotify:artist:5EJf9pRO532SnGtOaeiw4F,8145,[],61,5EJf9pRO532SnGtOaeiw4F,cast-albums
2416,Original London Cast Recording,spotify:artist:2fGsOCWH1eWuYJwH43zbKY,1022,[],37,2fGsOCWH1eWuYJwH43zbKY,cast-albums
2417,Studio Cast Recording,spotify:artist:0DBUfDFELdb6NdNBZF953x,20,[],1,0DBUfDFELdb6NdNBZF953x,cast-albums
2418,Cast Recording,spotify:artist:5EJf9pRO532SnGtOaeiw4F,8145,[],61,5EJf9pRO532SnGtOaeiw4F,cast-albums
2419,World Premiere Cast Recording,spotify:artist:6GbPJc9OGumJR1xuyiDrgQ,25,[],2,6GbPJc9OGumJR1xuyiDrgQ,cast-albums
2420,Lil Dicky,spotify:artist:1tqhsYv8yBBdwANFNzHtcr,1623019,"['comedy rap', 'pop rap', 'rap']",74,1tqhsYv8yBBdwANFNzHtcr,comedy-albums
2421,Afroman,spotify:artist:4Icvbp9RDt5aY2TWDOVDsr,255122,"['comedy rap', 'gangster rap', 'hip hop', 'rap']",63,4Icvbp9RDt5aY2TWDOVDsr,comedy-albums
2422,"""Weird Al"" Yankovic",spotify:artist:1bDWGdIC2hardyt55nlQgG,474539,"['antiviral pop', 'comedy rock', 'comic', 'parody']",61,1bDWGdIC2hardyt55nlQgG,comedy-albums
