artist,uri,followers,genres,popularity,decade,is_recommended,billboard
Herman's Hermits,spotify:artist:48YxSlb23RAaCd4RyHcV9V,254203,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll']",56,1960.0,1,
Langston Hughes,spotify:artist:1mNcebzTg5QlHEY4WYhLSm,4819,"['american modern classical', 'poetry']",16,1960.0,1,
The Doors,spotify:artist:22WZ7M8sxp5THdruNY3gXt,4870616,"['acid rock', 'album rock', 'classic rock', 'psychedelic rock', 'rock']",77,1960.0,0,
The Hombres,spotify:artist:5Kd7EaN14eunBIyNux2c3z,663,['classic garage rock'],20,1960.0,1,
Syd Dale,spotify:artist:3zIU8LPjTkHA4kvYK4UrM4,2285,"['easy listening', 'exotica', 'library music', 'lounge', 'moog', 'spytrack']",27,1960.0,1,
Françoise Hardy,spotify:artist:7x3f7c0fBanNlQwpx1255g,196443,"['chanson', 'ye ye']",61,1960.0,1,
Charles Mingus,spotify:artist:1W8TbFzNS15VwsempfY12H,292586,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']",55,1960.0,1,
Gilberto Gil,spotify:artist:7oEkUINVIj1Nr3Wnj8tzqr,646265,"['bossa nova', 'forro', 'mpb', 'samba', 'violao']",68,1960.0,0,
André Hossein,spotify:artist:78Y9jLWrj4OZhYahQ6otcH,135,"['french soundtrack', 'oriental classical']",13,1960.0,1,
The Hippy Boys,spotify:artist:579Ncba3u16DyUSrvxctnx,2078,"['early reggae', 'rock steady']",19,1960.0,1,
Benjamin Britten,spotify:artist:7MJ1pB5d6Vjmzep2zQlorn,29514,"['british modern classical', 'classical', 'neoclassicism']",52,1960.0,1,
The Detergents,spotify:artist:1WbH0e5a1gdnw5oVPZ8OJV,69,[],5,1960.0,1,
The Searchers,spotify:artist:4QmkLL9JOqM9dusHS1Hghe,107287,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']",51,1960.0,1,
Bobby Moore ,spotify:artist:6qlpFH9e4sZ52tAPy2KmLz,1369,['classic soul'],34,1960.0,1,
The Shangri-Las,spotify:artist:1WvziZcLLYLoMMdmQx7qcN,69117,"['brill building pop', 'classic girl group']",48,1960.0,1,
Donovan,spotify:artist:4SOtk3HtPYKqxnVuxNBMti,43836,"['acoustic pop', 'canadian folk', 'canadian indie', 'canadian singer-songwriter', 'deep new americana', 'indie anthem-folk', 'indie folk', 'indiecoustica', 'neo mellow', 'new americana', 'stomp and holler']",60,1960.0,1,
Tommy McCook,spotify:artist:27CnIh4lLIOW2DqEwO1QIf,10226,"['dub', 'early reggae', 'reggae', 'rock steady', 'roots reggae', 'ska', 'ska jazz']",42,1960.0,1,
Aretha Franklin,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,2223475,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",75,1960.0,0,
Ramsey Lewis,spotify:artist:7Kfrmups2Z3ncDQmNS5jRc,48739,"['funk', 'instrumental soul', 'jazz funk', 'jazz fusion', 'jazz piano', 'smooth jazz', 'soul jazz']",49,1960.0,1,
The Stooges,spotify:artist:4BFMTELQyWJU1SwqcXMBm3,358109,"['alternative rock', 'blues rock', 'classic rock', 'dance rock', 'garage rock', 'new wave', 'permanent wave', 'post-punk', 'protopunk', 'psychedelic rock', 'punk', 'punk blues', 'rock']",57,1960.0,1,
Carlo Savina,spotify:artist:0JPH3a8DUy38JvZsdhmEnC,972,['vintage italian soundtrack'],33,1960.0,1,
Doc Watson,spotify:artist:01N1aZStXA4yGvkz4vRXtJ,54753,"['american folk revival', 'appalachian folk', 'bluegrass', 'country rock', 'folk', 'jam band', 'new americana', 'old-time', 'progressive bluegrass', 'traditional folk']",52,1960.0,1,
Bob Wills,spotify:artist:0VyOgubdcDnrJ0AWL2TRDN,19269,"['bakersfield sound', 'traditional country', 'traditional folk', 'western swing']",41,1960.0,1,
Wolfgang Amadeus Mozart,spotify:artist:4NJhFmfw43RLBLjQvxDuRS,3416099,"['classical', 'classical era']",78,1960.0,0,
Ernesto Lecuona,spotify:artist:4Gd1JXQVbYicIeo2bDNHwL,4931,['mambo'],36,1960.0,1,
The Marvelows,spotify:artist:5UBLqIfKvD6GNuZefZQ504,200,"['chicago soul', 'doo-wop']",15,1960.0,1,
Percy Sledge,spotify:artist:3rRmDmzPcAFwcUDvG5gBqO,300463,"['classic soul', 'soul', 'southern soul']",58,1960.0,1,
Tito Puente,spotify:artist:6SPpCqM8gOzrtICAxN5NuX,122336,"['latin jazz', 'mambo', 'salsa']",54,1960.0,1,
David Houston,spotify:artist:7tIs7rxqGuBvWMhIIigunf,8618,['nashville sound'],35,1960.0,1,
Pharoah Sanders,spotify:artist:3JLUCojZaHrX2LaUkSj7Ud,54075,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free improvisation', 'free jazz', 'hard bop', 'indie jazz', 'jazz', 'jazz funk', 'jazz saxophone', 'spiritual jazz']",46,1960.0,1,
Cowboy Copas,spotify:artist:4szqhE3dT8nzYnlXYGwzmi,6517,"['honky tonk', 'western swing']",24,1960.0,1,
Harry Belafonte,spotify:artist:6Tw1ktF4xMmzaLLbe98I2z,108397,"['adult standards', 'brill building pop', 'calypso', 'lounge']",59,1960.0,1,
The Ivy League,spotify:artist:4xzeOvWTraQHZgxOgpz59N,5976,"['british invasion', 'bubblegum pop', 'merseybeat']",34,1960.0,1,
The Marvelettes,spotify:artist:0MponVSpW81oLvJZ53vYZH,197087,"['brill building pop', 'classic girl group', 'classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']",57,1960.0,1,
The Strangeloves,spotify:artist:4NMkJqM1SsQP3gk81cqk6K,3622,"['classic garage rock', 'freakbeat']",33,1960.0,1,
Staatskapelle Dresden,spotify:artist:3Vfvyx6OouTxYU3emXonW7,9308,"['classical', 'classical performance', 'orchestra']",51,1960.0,1,
Sonny Rollins,spotify:artist:1VEzN9lxvG6KPR3QQGsebR,212658,"['avant-garde jazz', 'bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone', 'soul jazz']",54,1960.0,1,
